savedsearch_name,runs,app,search,user
"         | filterdbxsourcetype | summaryindex spool=t uselb=t addtime=t index=""""summary"""" file=""""RMD51f6e00fef357462e_512677397.stash_new"""" name=""""splunk_app_db_connect.apimetricscollector: calculate indexed data volume"""" marker=""""report=\""""dbx_indexed_data_volumes\"""""""" | search index=_internal sourcetype=splunkd source=*metrics.log splunk_server=""""*"""" group=""""per_sourcetype_thruput"""" ",,,,None
"         | filterdbxsourcetype | summaryindex spool=t uselb=t addtime=t index=""""summary"""" file=""""RMD51f6e00fef357462e_517662399.stash_new"""" name=""""splunk_app_db_connect.apimetricscollector: calculate indexed data volume"""" marker=""""report=\""""dbx_indexed_data_volumes\"""""""" | search index=_internal sourcetype=splunkd source=*metrics.log splunk_server=""""*"""" group=""""per_sourcetype_thruput"""" ",,,,None
"         | filterdbxsourcetype | summaryindex spool=t uselb=t addtime=t index=""""summary"""" file=""""RMD51f6e00fef357462e_593100905.stash_new"""" name=""""splunk_app_db_connect.apimetricscollector: calculate indexed data volume"""" marker=""""report=\""""dbx_indexed_data_volumes\"""""""" | search index=_internal sourcetype=splunkd source=*metrics.log splunk_server=""""*"""" group=""""per_sourcetype_thruput"""" ",,,,None
"         | filterdbxsourcetype | summaryindex spool=t uselb=t addtime=t index=""""summary"""" file=""""RMD51f6e00fef357462e_667668145.stash_new"""" name=""""splunk_app_db_connect.apimetricscollector: calculate indexed data volume"""" marker=""""report=\""""dbx_indexed_data_volumes\"""""""" | search index=_internal sourcetype=splunkd source=*metrics.log splunk_server=""""*"""" group=""""per_sourcetype_thruput"""" ",,,,None
"         | filterdbxsourcetype | summaryindex spool=t uselb=t addtime=t index=""""summary"""" file=""""RMD51f6e00fef357462e_674327909.stash_new"""" name=""""splunk_app_db_connect.apimetricscollector: calculate indexed data volume"""" marker=""""report=\""""dbx_indexed_data_volumes\"""""""" | search index=_internal sourcetype=splunkd source=*metrics.log splunk_server=""""*"""" group=""""per_sourcetype_thruput"""" ",,,,None
"         | filterdbxsourcetype | summaryindex spool=t uselb=t addtime=t index=""""summary"""" file=""""RMD51f6e00fef357462e_702803813.stash_new"""" name=""""splunk_app_db_connect.apimetricscollector: calculate indexed data volume"""" marker=""""report=\""""dbx_indexed_data_volumes\"""""""" | search index=_internal sourcetype=splunkd source=*metrics.log splunk_server=""""*"""" group=""""per_sourcetype_thruput"""" ",,,,None
"         | filterdbxsourcetype | summaryindex spool=t uselb=t addtime=t index=""""summary"""" file=""""RMD51f6e00fef357462e_726146738.stash_new"""" name=""""splunk_app_db_connect.apimetricscollector: calculate indexed data volume"""" marker=""""report=\""""dbx_indexed_data_volumes\"""""""" | search index=_internal sourcetype=splunkd source=*metrics.log splunk_server=""""*"""" group=""""per_sourcetype_thruput"""" ",,,,None
"         | filterdbxsourcetype | summaryindex spool=t uselb=t addtime=t index=""""summary"""" file=""""RMD51f6e00fef357462e_731839847.stash_new"""" name=""""splunk_app_db_connect.apimetricscollector: calculate indexed data volume"""" marker=""""report=\""""dbx_indexed_data_volumes\"""""""" | search index=_internal sourcetype=splunkd source=*metrics.log splunk_server=""""*"""" group=""""per_sourcetype_thruput"""" ",,,,None
"         | filterdbxsourcetype | summaryindex spool=t uselb=t addtime=t index=""""summary"""" file=""""RMD51f6e00fef357462e_793847663.stash_new"""" name=""""splunk_app_db_connect.apimetricscollector: calculate indexed data volume"""" marker=""""report=\""""dbx_indexed_data_volumes\"""""""" | search index=_internal sourcetype=splunkd source=*metrics.log splunk_server=""""*"""" group=""""per_sourcetype_thruput"""" ",,,,None
"         | filterdbxsourcetype | summaryindex spool=t uselb=t addtime=t index=""""summary"""" file=""""RMD51f6e00fef357462e_871719041.stash_new"""" name=""""splunk_app_db_connect.apimetricscollector: calculate indexed data volume"""" marker=""""report=\""""dbx_indexed_data_volumes\"""""""" | search index=_internal sourcetype=splunkd source=*metrics.log splunk_server=""""*"""" group=""""per_sourcetype_thruput"""" ",,,,None
